type,order_release_id,details
Missing Settlement,8339795420,Order Amount: ₹599.00
Missing Settlement,8340092153,Order Amount: ₹599.00
Missing Settlement,8320936157,Order Amount: ₹999.00
Missing Settlement,8329513845,Order Amount: ₹799.00
Missing Settlement,8332502808,Order Amount: ₹699.00
Missing Settlement,8330049409,Order Amount: ₹599.00
Missing Settlement,8330582105,Order Amount: ₹599.00
Missing Settlement,8338203393,Order Amount: ₹799.00
Missing Settlement,8337810641,Order Amount: ₹799.00
Missing Settlement,8339249310,Order Amount: ₹949.00
Missing Settlement,8339114481,Order Amount: ₹949.00
Missing Settlement,8334118606,Order Amount: ₹799.00
Missing Settlement,8338150874,Order Amount: ₹949.00
Missing Settlement,8324319667,Order Amount: ₹649.00
Missing Settlement,8324135767,Order Amount: ₹799.00
Missing Settlement,8324103521,Order Amount: ₹799.00
Missing Settlement,8338295119,Order Amount: ₹599.00
Missing Settlement,8339177003,Order Amount: ₹799.00
Missing Settlement,8340644665,Order Amount: ₹649.00
Missing Settlement,8333814845,Order Amount: ₹999.00
Missing Settlement,8339554214,Order Amount: ₹799.00
Missing Settlement,8322727384,Order Amount: ₹799.00
Missing Settlement,8339868898,Order Amount: ₹899.00
Missing Settlement,8330212220,Order Amount: ₹949.00
Missing Settlement,8326813503,Order Amount: ₹799.00
Missing Settlement,8331301014,Order Amount: ₹599.00
Missing Settlement,8324775140,Order Amount: ₹799.00
Missing Settlement,8324087968,Order Amount: ₹949.00
Missing Settlement,8322588875,Order Amount: ₹599.00
Missing Settlement,8329900104,Order Amount: ₹749.00
Missing Settlement,8324081283,Order Amount: ₹799.00
Missing Settlement,8327806179,Order Amount: ₹949.00
Missing Settlement,8338209089,Order Amount: ₹599.00
Missing Settlement,8331409324,Order Amount: ₹899.00
Missing Settlement,8320107525,Order Amount: ₹799.00
Missing Settlement,8323627009,Order Amount: ₹599.00
Missing Settlement,8329319534,Order Amount: ₹799.00
Missing Settlement,8339892732,Order Amount: ₹949.00
Missing Settlement,8340481156,Order Amount: ₹699.00
Missing Settlement,8321497964,Order Amount: ₹799.00
Missing Settlement,8331821235,Order Amount: ₹799.00
Missing Settlement,8326132712,Order Amount: ₹999.00
Missing Settlement,8331497431,Order Amount: ₹949.00
Missing Settlement,8337952206,Order Amount: ₹799.00
Missing Settlement,8332333892,Order Amount: ₹599.00
Missing Settlement,8325490162,Order Amount: ₹599.00
Missing Settlement,8328067925,Order Amount: ₹599.00
Missing Settlement,8322045455,Order Amount: ₹599.00
Missing Settlement,8338196711,Order Amount: ₹799.00
Missing Settlement,8338998217,Order Amount: ₹699.00
Missing Settlement,8338853457,Order Amount: ₹899.00
Missing Settlement,8334738347,Order Amount: ₹799.00
Missing Settlement,8325906865,Order Amount: ₹799.00
Missing Settlement,8325888523,Order Amount: ₹799.00
Missing Settlement,8329079461,Order Amount: ₹699.00
Missing Settlement,8325456586,Order Amount: ₹799.00
Missing Settlement,8330891413,Order Amount: ₹799.00
Missing Settlement,8331198691,Order Amount: ₹599.00
Missing Settlement,8330609784,Order Amount: ₹799.00
Missing Settlement,8339467220,Order Amount: ₹799.00
Missing Settlement,8325885429,Order Amount: ₹649.00
Missing Settlement,8325399185,Order Amount: ₹649.00
Missing Settlement,8316208225,Order Amount: ₹649.00
Missing Settlement,8326224706,Order Amount: ₹799.00
Missing Settlement,8336024856,Order Amount: ₹949.00
Missing Settlement,8324007887,Order Amount: ₹999.00
Missing Settlement,8340126026,Order Amount: ₹699.00
Missing Settlement,8331096982,Order Amount: ₹949.00
Missing Settlement,8313271497,Order Amount: ₹749.00
Missing Settlement,8322269116,Order Amount: ₹799.00
Missing Settlement,8328355406,Order Amount: ₹849.00
Missing Settlement,8326021360,Order Amount: ₹799.00
Missing Settlement,8331621277,Order Amount: ₹599.00
Missing Settlement,8322433958,Order Amount: ₹799.00
Missing Settlement,8330803594,Order Amount: ₹699.00
Missing Settlement,8327741481,Order Amount: ₹649.00
Missing Settlement,8334088564,Order Amount: ₹699.00
Missing Settlement,8306570488,Order Amount: ₹599.00
Missing Settlement,8329511549,Order Amount: ₹799.00
Missing Settlement,8326269518,Order Amount: ₹799.00
Missing Settlement,8337617964,Order Amount: ₹949.00
Missing Settlement,8339056569,Order Amount: ₹599.00
Missing Settlement,8301878137,Order Amount: ₹799.00
Missing Settlement,8340492636,Order Amount: ₹949.00
Missing Settlement,8330243538,Order Amount: ₹599.00
Missing Settlement,8322011270,Order Amount: ₹799.00
Missing Settlement,8337809797,Order Amount: ₹799.00
Missing Settlement,8336729038,Order Amount: ₹849.00
Missing Settlement,8328348962,Order Amount: ₹799.00
Missing Settlement,8338804362,Order Amount: ₹599.00
Missing Settlement,8322725050,Order Amount: ₹799.00
Missing Settlement,8326605119,Order Amount: ₹799.00
Missing Settlement,8325339175,Order Amount: ₹999.00
Missing Settlement,8327669832,Order Amount: ₹799.00
Missing Settlement,8338926319,Order Amount: ₹599.00
Missing Settlement,8324797690,Order Amount: ₹599.00
Missing Settlement,8325470786,Order Amount: ₹799.00
Missing Settlement,8324611556,Order Amount: ₹599.00
Missing Settlement,8326617353,Order Amount: ₹599.00
Missing Settlement,8323769732,Order Amount: ₹799.00
Missing Settlement,8339560428,Order Amount: ₹949.00
Missing Settlement,8334331887,Order Amount: ₹599.00
Missing Settlement,8319342875,Order Amount: ₹799.00
Missing Settlement,8335833788,Order Amount: ₹599.00
Missing Settlement,8324830915,Order Amount: ₹599.00
Missing Settlement,8322806557,Order Amount: ₹599.00
Missing Settlement,8329291597,Order Amount: ₹949.00
Missing Settlement,8338950309,Order Amount: ₹949.00
Missing Settlement,8324035621,Order Amount: ₹599.00
Missing Settlement,8340052164,Order Amount: ₹699.00
Missing Settlement,8322855865,Order Amount: ₹999.00
Missing Settlement,8333586368,Order Amount: ₹949.00
Missing Settlement,8333682485,Order Amount: ₹799.00
Missing Settlement,8336037740,Order Amount: ₹749.00
Missing Settlement,8321448268,Order Amount: ₹599.00
Missing Settlement,8340545804,Order Amount: ₹799.00
Missing Settlement,8323160375,Order Amount: ₹799.00
Missing Settlement,8321646812,Order Amount: ₹799.00
Missing Settlement,8334441890,Order Amount: ₹599.00
Missing Settlement,8329060894,Order Amount: ₹799.00
Missing Settlement,8338380672,Order Amount: ₹599.00
Missing Settlement,8338831831,Order Amount: ₹599.00
Missing Settlement,8339257486,Order Amount: ₹999.00
Missing Settlement,8322882124,Order Amount: ₹799.00
Missing Settlement,8324231076,Order Amount: ₹899.00
Missing Settlement,8328278462,Order Amount: ₹799.00
Missing Settlement,8329901543,Order Amount: ₹799.00
Missing Settlement,8323633531,Order Amount: ₹799.00
Missing Settlement,8334007238,Order Amount: ₹599.00
Missing Settlement,8338154457,Order Amount: ₹499.00
Missing Settlement,8336332905,Order Amount: ₹949.00
Missing Settlement,8338081953,Order Amount: ₹799.00
Missing Settlement,8329104819,Order Amount: ₹799.00
Missing Settlement,8337677378,Order Amount: ₹949.00
Missing Settlement,8331721464,Order Amount: ₹649.00
Missing Settlement,8325118039,Order Amount: ₹949.00
Missing Settlement,8338366599,Order Amount: ₹799.00
Missing Settlement,8325940412,Order Amount: ₹799.00
Missing Settlement,8323816161,Order Amount: ₹899.00
Missing Settlement,8325539005,Order Amount: ₹949.00
Missing Settlement,8308563223,Order Amount: ₹599.00
Missing Settlement,8305102501,Order Amount: ₹849.00
Missing Settlement,8329600949,Order Amount: ₹699.00
Missing Settlement,8307442426,Order Amount: ₹899.00
Missing Settlement,8340608232,Order Amount: ₹799.00
Missing Settlement,8323303235,Order Amount: ₹799.00
Missing Settlement,8329202594,Order Amount: ₹799.00
Missing Settlement,8327872125,Order Amount: ₹799.00
Missing Settlement,8340205447,Order Amount: ₹799.00
Missing Settlement,8339426194,Order Amount: ₹649.00
Missing Settlement,8336116098,Order Amount: ₹949.00
Missing Settlement,8320970581,Order Amount: ₹599.00
Missing Settlement,8334318613,Order Amount: ₹599.00
Missing Settlement,8320249359,Order Amount: ₹899.00
Missing Settlement,8330499418,Order Amount: ₹599.00
